ticker,verdict,mos,confidence,alpha_score,explainability,tensions,bull_case,bear_case,key_assumptions,changes_call,note,crosscheck_class,crosscheck_cause
SIS,HOLD,0.46507535902925146,medium,54.6,Weakly-justified,HOLD label with model +47% from fair,model sees +47% to blended fair value; TENSION: HOLD label with model +47% from fair,45x earnings vs sector-normal 28x; thin 5% returns on equity,Rests on: sector-derived discount rate (MANUFACTURING); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Engine-should-have-abstained,uncomparable
TMB,HOLD,0.4381851350546579,medium,72.3,Weakly-justified,HOLD label with model +44% from fair,model sees +44% to blended fair value; trades 9x vs sector-normal 16x; Alpha Score 72 (multi-factor support); TENSION: HOLD label with model +44% from fair,—,Rests on: sector-derived discount rate (BANK); statement-derived growth/margins; terminal book-multiple economics.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
PGIL,HOLD,0.41523080478664315,medium,53.6,Weakly-justified,HOLD label with model +42% from fair,model sees +42% to blended fair value; returns on equity of 18% evidence a real franchise; street consensus +18%; TENSION: HOLD label with model +42% from fair,—,Rests on: sector-derived discount rate (CONSUMER_DISC); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
TRANSRAILL,HOLD,0.3634112015071901,medium,46.6,Weakly-justified,HOLD label with model +36% from fair,model sees +36% to blended fair value; returns on equity of 18% evidence a real franchise; TENSION: HOLD label with model +36% from fair,—,Rests on: sector-derived discount rate (CONSTRUCTION); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
JKLAKSHMI,HOLD,0.34189173714156024,medium,49.9,Weakly-justified,HOLD label with model +34% from fair,model sees +34% to blended fair value; trades 17x vs sector-normal 24x; street consensus +31%; TENSION: HOLD label with model +34% from fair,—,Rests on: sector-derived discount rate (CEMENT); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
PARAGMILK,HOLD,0.31874611936004316,medium,51.9,Weakly-justified,HOLD label with model +32% from fair,model sees +32% to blended fair value; trades 20x vs sector-normal 42x; street consensus +23%; TENSION: HOLD label with model +32% from fair,—,Rests on: sector-derived discount rate (CONSUMER); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
GNFC,HOLD,0.312910215855304,medium,60.4,Weakly-justified,HOLD label with model +31% from fair,model sees +31% to blended fair value; trades 9x vs sector-normal 26x; TENSION: HOLD label with model +31% from fair,thin 9% returns on equity,Rests on: sector-derived discount rate (CHEMICALS); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Dir-agree-magnitude-off,threshold/judgment difference (<0.30 gap)
BIRLACORPN,HOLD,0.3064410879795036,medium,44.8,Weakly-justified,HOLD label with model +31% from fair,model sees +31% to blended fair value; trades 14x vs sector-normal 24x; street consensus +23%; TENSION: HOLD label with model +31% from fair,thin 8% returns on equity,Rests on: sector-derived discount rate (CEMENT); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
PACEDIGITK,HOLD,0.3016925665541092,medium,68.7,Weakly-justified,HOLD label with model +30% from fair,model sees +30% to blended fair value; Alpha Score 69 (multi-factor support); TENSION: HOLD label with model +30% from fair,—,Rests on: sector-derived discount rate (CONSTRUCTION); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
AUTOAXLES,HOLD,0.27995132150867014,medium,60.8,Weakly-justified,HOLD label with model +28% from fair,model sees +28% to blended fair value; trades 17x vs sector-normal 24x; street consensus +18%; TENSION: HOLD label with model +28% from fair,—,Rests on: sector-derived discount rate (AUTO); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
ROSSARI,HOLD,0.2796051916233402,medium,45.8,Weakly-justified,HOLD label with model +28% from fair,model sees +28% to blended fair value; trades 20x vs sector-normal 26x; TENSION: HOLD label with model +28% from fair,—,Rests on: sector-derived discount rate (CHEMICALS); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
GAEL,HOLD,0.2781268178326297,medium,67.5,Weakly-justified,HOLD label with model +28% from fair,model sees +28% to blended fair value; trades 22x vs sector-normal 42x; Alpha Score 68 (multi-factor support); street consensus +35%; TENSION: HOLD label with model +28% from fair,thin 9% returns on equity,Rests on: sector-derived discount rate (CONSUMER); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
DALMIASUG,HOLD,0.2768654129656697,medium,45.7,Weakly-justified,HOLD label with model +28% from fair,model sees +28% to blended fair value; trades 13x vs sector-normal 42x; street consensus +22%; TENSION: HOLD label with model +28% from fair,thin 7% returns on equity,Rests on: sector-derived discount rate (CONSUMER); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
GALAXYSURF,HOLD,0.26315056733962217,medium,49.8,Weakly-justified,HOLD label with model +26% from fair,model sees +26% to blended fair value; street consensus +18%; TENSION: HOLD label with model +26% from fair,thin 10% returns on equity,Rests on: sector-derived discount rate (CHEMICALS); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
DEEPAKFERT,HOLD,0.2562452382449368,high,39.5,Weakly-justified,HOLD label with model +26% from fair,model sees +26% to blended fair value; street consensus +7%; TENSION: HOLD label with model +26% from fair,—,Rests on: sector-derived discount rate (CHEMICALS); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
UFLEX,HOLD,0.2506912622592877,medium,43.7,Weakly-justified,HOLD label with model +25% from fair,model sees +25% to blended fair value; trades 10x vs sector-normal 28x; TENSION: HOLD label with model +25% from fair,thin 4% returns on equity,Rests on: sector-derived discount rate (MANUFACTURING); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
MRPL,HOLD,0.2397595796254485,high,44.6,Justified,,model sees +24% to blended fair value,16x earnings vs sector-normal 12x; street -13%,Rests on: sector-derived discount rate (ENERGY); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
WSTCSTPAPR,HOLD,0.2236975924644782,medium,46.5,Justified,,model sees +22% to blended fair value,23x earnings vs sector-normal 12x; thin 4% returns on equity,Rests on: sector-derived discount rate (PAPER); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
ICICIPRULI,HOLD,0.22058823529411775,medium,56.2,Justified,,model sees +22% to blended fair value; street consensus +37%,47x earnings vs sector-normal 24x,Rests on: sector-derived discount rate (INSURANCE); statement-derived growth/margins; terminal book-multiple economics.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
KTKBANK,HOLD,0.2191770825603426,medium,61.5,Justified,,model sees +22% to blended fair value; trades 8x vs sector-normal 16x,thin 10% returns on equity; street -9%,Rests on: sector-derived discount rate (BANK); statement-derived growth/margins; terminal book-multiple economics.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
CMRGREEN,HOLD,0.21502426185426177,medium,66.5,Justified,,model sees +22% to blended fair value; Alpha Score 66 (multi-factor support),22x earnings vs sector-normal 11x,Rests on: sector-derived discount rate (METAL); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
VIKRAMSOLR,HOLD,0.21087168962218,medium,49.7,Justified,,model sees +21% to blended fair value; trades 14x vs sector-normal 28x,—,Rests on: sector-derived discount rate (MANUFACTURING); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Dir-agree-magnitude-off,threshold/judgment difference (<0.30 gap)
SAMBHV,HOLD,0.2061268896425117,medium,47.1,Justified,,model sees +21% to blended fair value,—,Rests on: sector-derived discount rate (MANUFACTURING); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
CSBBANK,HOLD,0.20512126909838313,medium,47.3,Justified,,model sees +21% to blended fair value; trades 10x vs sector-normal 16x; street consensus +17%,—,Rests on: sector-derived discount rate (BANK); statement-derived growth/margins; terminal book-multiple economics.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
UPL,HOLD,0.19618217634880822,high,42.9,Justified,,model sees +20% to blended fair value; street consensus +24%,thin 6% returns on equity,Rests on: sector-derived discount rate (CHEMICALS); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
REDTAPE,HOLD,0.19295300309479996,medium,59.7,Justified,,model sees +19% to blended fair value; returns on equity of 24% evidence a real franchise,—,Rests on: sector-derived discount rate (CONSUMER_DISC); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
ADVENZYMES,HOLD,0.1905883240963127,medium,59.1,Justified,,model sees +19% to blended fair value; street consensus +17%,—,Rests on: sector-derived discount rate (IT_SERVICES); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
VRLLOG,HOLD,0.18945237399880524,medium,65.5,Justified,,model sees +19% to blended fair value; returns on equity of 21% evidence a real franchise; trades 17x vs sector-normal 26x; Alpha Score 66 (multi-factor support); street consensus +43%,—,Rests on: sector-derived discount rate (LOGISTICS); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Method-limited-unchecked,
PCJEWELLER,HOLD,0.1890589397535533,medium,32.7,Justified,,model sees +19% to blended fair value; trades 12x vs sector-normal 38x,thin 9% returns on equity,Rests on: sector-derived discount rate (CONSUMER_DISC); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
HNDFDS,HOLD,0.18589529373140862,medium,64.4,Justified,,model sees +19% to blended fair value; street consensus +49%,—,Rests on: sector-derived discount rate (CONSUMER); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
KDDL,HOLD,0.1751985415953,medium,47.7,Justified,,model sees +18% to blended fair value,—,Rests on: sector-derived discount rate (CONSUMER_DISC); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
JKPAPER,HOLD,0.17472972489764318,medium,42.2,Justified,,model sees +17% to blended fair value; street consensus +38%,25x earnings vs sector-normal 12x; thin 5% returns on equity,Rests on: sector-derived discount rate (PAPER); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
AJMERA,HOLD,0.1722714331635906,medium,48.1,Justified,,model sees +17% to blended fair value; street consensus +39%,—,Rests on: sector-derived discount rate (CONSTRUCTION); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
EPIGRAL,HOLD,0.17163371779143824,medium,54.0,Justified,,model sees +17% to blended fair value; trades 14x vs sector-normal 26x; street consensus +148%,—,Rests on: sector-derived discount rate (CHEMICALS); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Dir-agree-magnitude-off,threshold/judgment difference (<0.30 gap)
KSL,HOLD,0.1691523682069067,medium,56.6,Justified,,model sees +17% to blended fair value; trades 16x vs sector-normal 28x,—,Rests on: sector-derived discount rate (MANUFACTURING); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
RELIANCE,HOLD,0.16620372855090215,medium,56.0,Justified,,model sees +17% to blended fair value; street consensus +28%,22x earnings vs sector-normal 12x,Rests on: sector-derived discount rate (ENERGY); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
EMIL,HOLD,0.1630067719001482,medium,41.5,Justified,,model sees +16% to blended fair value; street consensus +31%,thin 7% returns on equity,Rests on: sector-derived discount rate (CONSUMER_DISC); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
CENTRALBK,HOLD,0.1530851796908016,high,60.4,Justified,,model sees +15% to blended fair value; trades 6x vs sector-normal 16x,—,Rests on: sector-derived discount rate (BANK); statement-derived growth/margins; terminal book-multiple economics.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
SANGHVIMOV,HOLD,0.14939428142333358,medium,60.8,Justified,,model sees +15% to blended fair value; trades 20x vs sector-normal 28x,—,Rests on: sector-derived discount rate (MANUFACTURING); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Engine-should-have-abstained,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
SAGILITY,HOLD,0.14406287966047024,high,57.4,Justified,,model sees +14% to blended fair value; street consensus +50%,thin 10% returns on equity,Rests on: sector-derived discount rate (IT_SERVICES); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
ICICIBANK,HOLD,0.13575295157931755,high,61.8,Justified,,model sees +14% to blended fair value; street consensus +17%,—,Rests on: sector-derived discount rate (BANK); statement-derived growth/margins; terminal book-multiple economics.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
SANATHAN,HOLD,0.13340075657314632,medium,43.8,Justified,,model sees +13% to blended fair value; street consensus +18%,thin 4% returns on equity,Rests on: sector-derived discount rate (CONSUMER_DISC); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
FIVESTAR,HOLD,0.12681468412502636,high,44.2,Justified,,model sees +13% to blended fair value; street consensus +33%,—,Rests on: sector-derived discount rate (NBFC); statement-derived growth/margins; terminal book-multiple economics.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
MAITHANALL,HOLD,0.12483829722576219,medium,54.7,Justified,,model sees +12% to blended fair value; trades 7x vs sector-normal 11x,—,Rests on: sector-derived discount rate (METAL); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
DCBBANK,HOLD,0.12407209192964926,medium,57.8,Justified,,model sees +12% to blended fair value; trades 8x vs sector-normal 16x; street consensus +19%,—,Rests on: sector-derived discount rate (BANK); statement-derived growth/margins; terminal book-multiple economics.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
MAHSEAMLES,HOLD,0.12229995057274275,medium,60.1,Justified,,model sees +12% to blended fair value,—,Rests on: sector-derived discount rate (METAL); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
JINDALSAW,HOLD,0.12174113901658451,high,46.3,Justified,,model sees +12% to blended fair value; trades 18x vs sector-normal 32x,thin 7% returns on equity,Rests on: sector-derived discount rate (CAPITAL_GOODS); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
REFEX,HOLD,0.11975088275725196,medium,41.1,Justified,,model sees +12% to blended fair value; returns on equity of 16% evidence a real franchise; trades 17x vs sector-normal 26x,—,Rests on: sector-derived discount rate (CHEMICALS); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Dir-agree-magnitude-off,threshold/judgment difference (<0.30 gap)
CEATLTD,HOLD,0.11429631420993666,high,57.6,Justified,,model sees +11% to blended fair value; street consensus +9%,—,Rests on: sector-derived discount rate (AUTO); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
NIACL,HOLD,0.11401886598793065,medium,38.6,Justified,,model sees +11% to blended fair value,thin 4% returns on equity; street -6%,Rests on: sector-derived discount rate (INSURANCE); statement-derived growth/margins; terminal book-multiple economics.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Engine-should-have-abstained,uncomparable
BALRAMCHIN,HOLD,0.10716669898606282,high,40.3,Justified,,model sees +11% to blended fair value; trades 33x vs sector-normal 42x,thin 9% returns on equity,Rests on: sector-derived discount rate (CONSUMER); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
FLAIR,HOLD,0.106621174082098,medium,64.7,Justified,,model sees +11% to blended fair value; trades 20x vs sector-normal 28x; street consensus +74%,—,Rests on: sector-derived discount rate (MANUFACTURING); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Engine-should-have-abstained,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
PDSL,HOLD,0.10396173728246111,medium,40.7,Justified,,model sees +10% to blended fair value; street consensus +81%,—,Rests on: sector-derived discount rate (CONSUMER_DISC); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
SANDHAR,HOLD,0.09765171496614851,medium,68.4,Justified,,model sees +10% to blended fair value; trades 18x vs sector-normal 24x; Alpha Score 68 (multi-factor support); street consensus +29%,—,Rests on: sector-derived discount rate (AUTO); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
JUNIPER,HOLD,0.09003824332453801,medium,36.5,Justified,,model sees +9% to blended fair value,thin 5% returns on equity,Rests on: sector-derived discount rate (CONSUMER_DISC); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
BRIGADE,HOLD,0.07394533151807617,high,44.9,Justified,,model sees +7% to blended fair value; street consensus +37%,29x earnings vs sector-normal 20x,Rests on: sector-derived discount rate (REALTY); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
PATANJALI,HOLD,0.06403487046481203,high,68.5,Justified,,model sees +6% to blended fair value; trades 21x vs sector-normal 42x; Alpha Score 68 (multi-factor support); street consensus +72%,—,Rests on: sector-derived discount rate (CONSUMER); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
AARTIDRUGS,HOLD,0.059629077644259926,medium,40.1,Justified,,model sees +6% to blended fair value; trades 19x vs sector-normal 25x; street consensus +6%,—,Rests on: sector-derived discount rate (IT_SERVICES); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
VENTIVE,HOLD,0.05623180945207016,medium,52.0,Justified,,model sees +6% to blended fair value; street consensus +39%,thin 9% returns on equity,Rests on: sector-derived discount rate (CONSUMER_DISC); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
QUESS,HOLD,0.04810313932562578,medium,52.9,Justified,,model sees +5% to blended fair value; returns on equity of 19% evidence a real franchise; trades 20x vs sector-normal 28x,—,Rests on: sector-derived discount rate (MANUFACTURING); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Engine-should-have-abstained,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class)
POWERMECH,HOLD,0.048028813364939214,medium,51.2,Justified,,model sees +5% to blended fair value; returns on equity of 16% evidence a real franchise; street consensus +32%,22x earnings vs sector-normal 15x,Rests on: sector-derived discount rate (CONSTRUCTION); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
INDGN,HOLD,0.04636789335190088,high,57.1,Justified,,model sees +5% to blended fair value; street consensus +18%,—,Rests on: sector-derived discount rate (PHARMA); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
APOLLOTYRE,HOLD,0.04567000779845312,high,59.0,Justified,,model sees +5% to blended fair value; street consensus +11%,thin 8% returns on equity,Rests on: sector-derived discount rate (AUTO); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
EMMVEE,HOLD,0.04439184723443674,high,56.4,Justified,,model sees +4% to blended fair value; returns on equity of 29% evidence a real franchise; trades 20x vs sector-normal 32x,—,Rests on: sector-derived discount rate (CAPITAL_GOODS); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Agree,
BBL,HOLD,0.04211327720863242,medium,45.3,Justified,,model sees +4% to blended fair value,thin 6% returns on equity,Rests on: sector-derived discount rate (MANUFACTURING); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
DATAMATICS,HOLD,0.039010854618406435,medium,53.3,Justified,,model sees +4% to blended fair value,—,Rests on: sector-derived discount rate (IT_SERVICES); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
NTPC,HOLD,0.03736547700387298,high,77.5,Justified,,model sees +4% to blended fair value; Alpha Score 78 (multi-factor support); street consensus +28%,—,Rests on: sector-derived discount rate (UTILITIES); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Engine-should-have-abstained,engine-bearish: level bias (VAL-02 family)
DODLA,HOLD,0.030376560758980098,medium,62.8,Justified,,model sees +3% to blended fair value; returns on equity of 16% evidence a real franchise; trades 24x vs sector-normal 42x; street consensus +44%,—,Rests on: sector-derived discount rate (CONSUMER); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
SKFINDIA,HOLD,0.024646743083559824,medium,56.3,Justified,,model sees +2% to blended fair value; returns on equity of 20% evidence a real franchise; street consensus +97%,—,Rests on: sector-derived discount rate (MANUFACTURING); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Engine-should-have-abstained,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
ELECON,HOLD,0.024411191857116283,high,49.8,Justified,,model sees +2% to blended fair value; street consensus +27%,—,Rests on: sector-derived discount rate (CAPITAL_GOODS); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
HEROMOTOCO,HOLD,0.02001593119947366,high,71.5,Justified,,model sees +2% to blended fair value; returns on equity of 27% evidence a real franchise; trades 17x vs sector-normal 24x; Alpha Score 72 (multi-factor support); street consensus +20%,—,Rests on: sector-derived discount rate (AUTO); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Engine-should-have-abstained,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
GULFOILLUB,HOLD,0.011595175007646438,medium,67.2,Justified,,model sees +1% to blended fair value; returns on equity of 22% evidence a real franchise; Alpha Score 67 (multi-factor support); street consensus +57%,—,Rests on: sector-derived discount rate (ENERGY); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
ESCORTS,HOLD,0.0072390986224924354,high,54.8,Justified,,model sees +1% to blended fair value; trades 24x vs sector-normal 32x; street consensus +19%,—,Rests on: sector-derived discount rate (CAPITAL_GOODS); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
